品番,名前,スニダン,BIG,BANK,シンソク,利率,BIG予想値利率,BIG予想値,買取表,リアルタイム満額,底値,最底値(傷あり),BIG予想値と買取表の差異,買取表と底値の差異,利益率,備考,傾向,d7%,ma5,ma20,直近1週間,画像URL
261/172,ギラティナVSTAR UR,"¥45,556","¥45,590","¥48,000","¥40,500",,,,,,,,,,,,,,,,,
071/067,オリジンパルキアV SR,"¥26,678","¥23,280",,"¥23,000",,,,,,,,,,,,,,,,,
075/067,オリジンディアルガV SR,"¥26,900","¥21,340","¥24,500","¥22,000",,,,,,,,,,,,,,,,,
112/100,アルセウスV SR,"¥24,740","¥26,190","¥28,000","¥23,500",,,,,,,,,,,,,,,,,
080/073,コイキング AR,"¥42,635","¥42,195",,"¥39,500",,,,,,,,,,,,,,,,,
110/080,メガリザードンXex SAR,"¥173,800","¥160,050",,"¥151,000",,,,,,,,,,,,,,,,,
211/172,リザードンV SAR,"¥19,500","¥17,945",,"¥18,000",,,,,,,,,,,,,,,,,
134/108,リザードンex SAR,"¥88,240","¥81,480","¥84,500","¥78,000",,,,,,,,,,,,,,,,,
124/098,ロケット団のファイヤーex SAR,"¥39,596","¥36,860","¥39,000","¥35,000",,,,,,,,,,,,,,,,,
168/086,レシラムex SAR,"¥39,600","¥38,800","¥40,500","¥35,500",,,,,,,,,,,,,,,,,
169/086,ゼクロムex SAR,"¥40,050","¥38,800",,"¥35,000",,,,,,,,,,,,,,,,,
174/086,ゼクロムex BWR,"¥122,560","¥111,550","¥123,000","¥106,000",,,,,,,,,,,,,,,,,
101/078,サーナイトex SAR,"¥46,376","¥38,800","¥41,500","¥35,500",,,,,,,,,,,,,,,,,
090/066,ゲッコウガex SAR,"¥58,760","¥11,446",,"¥59,000",,,,,,,,,,,,,,,,,
127/100,Nのゾロアークex SAR,"¥15,300","¥14,550","¥15,000","¥13,400",,,,,,,,,,,,,,,,,
087/063,メガサーナイトex SAR,"¥22,786",,"¥23,500","¥22,000",,,,,,,,,,,,,,,,,
086/063,ヒビキのホウオウex SAR,"¥40,357","¥41,710","¥44,500","¥38,500",,,,,,,,,,,,,,,,,
234/193,ピカチュウex SAR,"¥68,980","¥82,450",,"¥63,000",,,,,,,,,,,,,,,,,
237/193,ロケット団のミュウツーex SAR,"¥29,620","¥21,340","¥35,000","¥30,500",,,,,,,,,,,,,,,,,
001/025,リザードン,"¥102,360",,,"¥114,000",,,,,,,,,,,,,,,,,
002/025,フシギバナ,"¥23,210",,"¥23,500","¥19,500",,,,,,,,,,,,,,,,,
