品番,名前,スニダン,BIG,BANK,シンソク,利率,BIG予想値利率,BIG予想値,買取表,リアルタイム満額,底値,最底値(傷あり),BIG予想値と買取表の差異,買取表と底値の差異,利益率,備考,傾向,d7%,ma5,ma20,直近1週間,画像URL
222/184,ピカチュウV CSR,"¥40,478","¥45,590","¥48,000","¥41,500",,,,,,,,,,,,,,,,,
074/071,ライチュウ AR,"¥9,160","¥38,800","¥41,000","¥37,000",,,,,,,,,,,,,,,,,
105/095,ラティアス&ラティオスGX SR,"¥1,231,978","¥1,164,000","¥1,230,000","¥1,150,000",,,,,,,,,,,,,,,,,
101/095,ピカチュウ&ゼクロムGX SR,"¥877,200","¥892,400","¥954,000","¥840,000",,,,,,,,,,,,,,,,,
103/095,ゲンガー&ミミッキュGX SR,"¥616,800","¥46,560","¥623,000","¥570,000",,,,,,,,,,,,,,,,,
182/173,ブラッキー&ダークライGX SR,"¥368,560","¥50,440",,"¥300,000",,,,,,,,,,,,,,,,,
098/094,ミュウツー&ミュウGX SR,"¥615,000","¥582,000","¥615,000","¥570,000",,,,,,,,,,,,,,,,,
068/064,リザードン&テールナーGX SR,"¥153,699","¥145,500","¥152,000","¥134,000",,,,,,,,,,,,,,,,,
063/049,ソルガレオ&ルナアーラGX (リーリエ) SR,"¥93,711","¥85,360","¥90,000","¥79,000",,,,,,,,,,,,,,,,,
186/173,トゲピー&ピィ&ププリンGX SR,"¥114,400","¥82,450","¥105,000","¥85,000",,,,,,,,,,,,,,,,,
177/173,エーフィ&デオキシスGX SR,"¥178,600","¥133,860",,"¥124,000",,,,,,,,,,,,,,,,,
229/150,ブラッキーGX SSR,"¥245,400","¥242,500","¥252,000","¥220,000",,,,,,,,,,,,,,,,,
209/150,リザードンGX SSR,"¥366,000","¥349,200",,"¥320,000",,,,,,,,,,,,,,,,,
038/095,ゲンガー&ミミッキュGX RR,"¥52,050","¥46,560",,"¥47,000",,,,,,,,,,,,,,,,,
060/054,ファイヤー&サンダー&フリーザーGX SR,"¥668,780","¥140,650",,"¥146,000",,,,,,,,,,,,,,,,,
060/054,ファイヤー&サンダー&フリーザーGX SR,"¥668,780","¥140,650",,"¥146,000",,,,,,,,,,,,,,,,,
104/095,ラティアス&ラティオスGX SR,"¥37,360","¥43,650",,"¥42,000",,,,,,,,,,,,,,,,,
297/SM-P,イーブイ&カビゴンGX,"¥89,999",,"¥84,500","¥79,000",,,,,,,,,,,,,,,,,
059/055,ゲッコウガ&ゾロアークGX SR,"¥152,960","¥95,060",,"¥146,000",,,,,,,,,,,,,,,,,
064/049,レシラム&ゼクロムGX (N) SR,"¥80,020","¥77,115",,"¥79,000",,,,,,,,,,,,,,,,,
119/114,リーリエ(がんばリーリエ) SR,"¥2,970,000","¥6,790","¥2,820,000","¥2,620,000",,,,,,,,,,,,,,,,,
066/060,リーリエ(帽子リーリエ)SR,"¥1,414,000","¥1,280,400",,"¥1,300,000",,,,,,,,,,,,,,,,,
056/049,ドガース CHR,"¥11,380","¥1,581,100","¥1,850,000","¥1,600,000",,,,,,,,,,,,,,,,,
401/SM-P,アローラの仲間たち,"¥730,600","¥654,750","¥705,000","¥620,000",,,,,,,,,,,,,,,,,
185/171,サナ,"¥478,800","¥426,800",,"¥405,000",,,,,,,,,,,,,,,,,
181/171,オカルトマニア,"¥912,560","¥824,500","¥872,000","¥750,000",,,,,,,,,,,,,,,,,
184/171,こわいおねえさん,"¥448,711","¥407,400","¥433,000","¥385,000",,,,,,,,,,,,,,,,,
086/080,ポケモンセンターのお姉さん SR,"¥126,360","¥106,700",,"¥97,000",,,,,,,,,,,,,,,,,
201/173,レッドの挑戦 SR,"¥97,158","¥85,360","¥92,000","¥75,000",,,,,,,,,,,,,,,,,
193/173,グリーンの戦略 SR,"¥88,020","¥79,540",,"¥76,000",,,,,,,,,,,,,,,,,
061/054,ブルーの探索 SR,"¥61,700","¥60,140","¥69,000","¥59,000",,,,,,,,,,,,,,,,,
196/173,ブルーの探索 SR,"¥135,100","¥138,710","¥145,000","¥123,000",,,,,,,,,,,,,,,,,
118/114,スイレン SR,"¥274,733","¥232,800","¥243,000","¥215,000",,,,,,,,,,,,,,,,,
055/050,ルザミーネ SR,"¥311,000","¥305,550",,"¥285,000",,,,,,,,,,,,,,,,,
120/114,ルザミーネ SR,"¥480,500","¥460,750","¥490,000","¥430,000",,,,,,,,,,,,,,,,,
055/050,ルザミーネ SR,"¥311,000","¥305,550",,"¥285,000",,,,,,,,,,,,,,,,,
192/173,かんこうきゃく SR,"¥280,000","¥273,540","¥285,000","¥255,000",,,,,,,,,,,,,,,,,
191/173,カスミ&カンナ SR,"¥96,400",,"¥92,000","¥81,000",,,,,,,,,,,,,,,,,
106/095,シロナ&カトレア SR,"¥42,940","¥40,740","¥39,500","¥37,000",,,,,,,,,,,,,,,,,
100/094,おじょうさま SR,"¥60,800","¥57,230","¥60,000","¥52,000",,,,,,,,,,,,,,,,,
109/095,ナツメの暗示 SR,"¥25,200","¥22,310","¥24,000","¥21,000",,,,,,,,,,,,,,,,,
067/049,メイ SR,"¥81,120","¥85,845","¥90,500","¥80,000",,,,,,,,,,,,,,,,,
062/054,ムサシとコジロウ SR,"¥123,400","¥119,310","¥128,000","¥109,000",,,,,,,,,,,,,,,,,
104/094,カスミのおねがい SR,"¥65,796","¥59,170","¥63,000","¥54,000",,,,,,,,,,,,,,,,,
099/073,キハダ SAR,"¥21,280","¥17,460","¥18,500","¥17,000",,,,,,,,,,,,,,,,,
089/062,パラソルおねえさん SAR,"¥29,300","¥25,220","¥27,000","¥26,500",,,,,,,,,,,,,,,,,
131/102,タロ SAR,"¥25,880","¥22,795","¥22,500","¥21,500",,,,,,,,,,,,,,,,,
130/101,ゼイユ SAR,"¥78,820","¥75,660","¥79,000","¥72,000",,,,,,,,,,,,,,,,,
092/066,メロコ SAR,"¥14,374","¥31,040","¥37,000","¥27,500",,,,,,,,,,,,,,,,,
097/071,ベルのまごころ SAR,"¥30,020",,"¥25,000","¥21,500",,,,,,,,,,,,,,,,,
258/184,ガラルの仲間たち SR,"¥13,990","¥14,065","¥15,000","¥12,500",,,,,,,,,,,,,,,,,
246/172,カミツレのきらめき SR,"¥14,154","¥12,610",,"¥13,100",,,,,,,,,,,,,,,,,
080/070,アスナ SR,"¥16,620","¥20,370","¥21,500","¥19,500",,,,,,,,,,,,,,,,,
096/071,ナンジャモ SAR,"¥94,630","¥17,460",,"¥79,000",,,,,,,,,,,,,,,,,
350/190,ナンジャモ SAR,"¥24,700",,"¥29,000","¥26,500",,,,,,,,,,,,,,,,,
091/071,ナンジャモ SR,"¥20,560","¥17,460","¥18,500","¥16,000",,,,,,,,,,,,,,,,,
068/060,マリィ SR,"¥107,640",,,"¥90,000",,,,,,,,,,,,,,,,,
198/190,マリィ SR (シャイニーマリィ),"¥29,740","¥26,675","¥28,000","¥24,500",,,,,,,,,,,,,,,,,
419/414,マリィのプライド,"¥32,157","¥31,525","¥33,000","¥28,500",,,,,,,,,,,,,,,,,
070/066,シロナ SR,"¥191,285","¥164,900","¥180,000","¥159,000",,,,,,,,,,,,,,,,,
153/150,シロナ SR,"¥66,110","¥63,050","¥66,000","¥59,000",,,,,,,,,,,,,,,,,
239/172,シロナの覇気 SAR,"¥23,700","¥22,310","¥23,500","¥20,500",,,,,,,,,,,,,,,,,
068/049,リーリエの全力 SR,"¥93,080","¥86,330",,"¥83,000",,,,,,,,,,,,,,,,,
091/063,リーリエの決心 SAR,"¥65,100","¥64,020",,"¥62,000",,,,,,,,,,,,,,,,,
236/172,カイ SAR,"¥17,422","¥16,005",,"¥15,500",,,,,,,,,,,,,,,,,
091/064,ルチアのアピール SAR,"¥40,600","¥39,770","¥42,000","¥37,500",,,,,,,,,,,,,,,,,
104/096,ルチア SR,"¥318,380","¥298,760",,"¥280,000",,,,,,,,,,,,,,,,,
090/063,アセロラのいたずら SAR,"¥19,470","¥18,915","¥20,000","¥17,000",,,,,,,,,,,,,,,,,
105/078,ボタン SAR,"¥9,254",,"¥42,000","¥41,500",,,,,,,,,,,,,,,,,
107/095,マオ&スイレン SR,"¥34,080",,"¥45,000","¥39,000",,,,,,,,,,,,,,,,,
190/173,エリカのおもてなし SR,"¥230,180","¥230,860","¥244,000","¥220,000",,,,,,,,,,,,,,,,,
086/064,ルチアのアピール SR,"¥25,010","¥22,795","¥24,000","¥21,000",,,,,,,,,,,,,,,,,
069/S-P,ポケモンセンターのお姉さん,"¥44,100","¥42,195","¥43,000","¥41,000",,,,,,,,,,,,,,,,,
058/052,ミカン SR,"¥21,460","¥20,370","¥25,000","¥19,500",,,,,,,,,,,,,,,,,
079/067,ヒガナの決意 SR,"¥18,540","¥17,266",,,,,,,,,,,,,,,,,,,
059/053,ヒガナ SR,"¥91,200","¥81,480","¥91,000","¥78,000",,,,,,,,,,,,,,,,,
195/190,フウロ SR,"¥13,640","¥13,095","¥14,000","¥12,400",,,,,,,,,,,,,,,,,
109/100,Nのレシラム AR,"¥10,570","¥13,095",,"¥9,100",,,,,,,,,,,,,,,,,
164/XY-P,フウロ,"¥117,822","¥101,850",,"¥98,000",,,,,,,,,,,,,,,,,
196/165,エリカの招待 SR,"¥22,000","¥21,825","¥23,000","¥22,500",,,,,,,,,,,,,,,,,
206/165,エリカの招待 SAR,"¥30,960",,"¥31,000","¥28,000",,,,,,,,,,,,,,,,,
255/184,アセロラの予感 SR,"¥19,356","¥17,945","¥18,000","¥16,000",,,,,,,,,,,,,,,,,
100/078,ミモザ SR,"¥17,680","¥16,684","¥17,500","¥15,000",,,,,,,,,,,,,,,,,
081/068,セレナ SR,"¥22,300","¥20,855","¥22,000","¥19,000",,,,,,,,,,,,,,,,,
276/184,ユウリ SR,"¥18,576","¥16,975","¥18,000","¥16,000",,,,,,,,,,,,,,,,,
077/067,サナ SR,"¥14,980","¥15,035",,"¥13,700",,,,,,,,,,,,,,,,,
175/XY-P,ピカチュウ,"¥745,800","¥698,400","¥770,000","¥650,000",,,,,,,,,,,,,,,,,
037/SM-P,ポンチョを着たピカチュウ,"¥551,740","¥485,000","¥520,000","¥465,000",,,,,,,,,,,,,,,,,
038/SM-P,ポンチョを着たピカチュウ,"¥447,555","¥402,550",,"¥375,000",,,,,,,,,,,,,,,,,
307/190,リザードンV SSR,"¥40,732","¥38,800","¥40,500","¥36,000",,,,,,,,,,,,,,,,,
234/184,ミミッキュVMAX (アセロラ) CSR,"¥29,800","¥31,040",,"¥30,000",,,,,,,,,,,,,,,,,
077/070,ソニア SR,"¥48,160","¥75,660",,"¥78,000",,,,,,,,,,,,,,,,,
074/067,カイリューV SR,"¥134,580","¥124,160","¥133,000","¥117,000",,,,,,,,,,,,,,,,,
304/S-P,ルカリオV SR,"¥96,000","¥79,540",,"¥83,000",,,,,,,,,,,,,,,,,
084/067,ガブリアスV CSR,"¥24,940","¥20,855",,"¥21,500",,,,,,,,,,,,,,,,,
219/150,ミュウツーGX SSR,"¥72,360","¥63,050",,,,,,,,,,,,,,,,,,,
238/150,ニンフィアGX SSR,"¥84,260","¥67,900",,"¥72,000",,,,,,,,,,,,,,,,,
087/063,メガサーナイトex SAR,"¥22,786",,"¥23,500","¥22,000",,,,,,,,,,,,,,,,,
132/106,ピカチュウex SAR,"¥112,260","¥112,520",,"¥97,000",,,,,,,,,,,,,,,,,
136/106,ピカチュウex UR,"¥36,960","¥38,315","¥40,000","¥34,000",,,,,,,,,,,,,,,,,
126/100,リーリエのピッピex SAR,"¥39,318","¥38,315","¥40,000","¥37,000",,,,,,,,,,,,,,,,,
204/165,サンダーex SAR,"¥30,760","¥31,040","¥29,000","¥29,000",,,,,,,,,,,,,,,,,
094/165,ゲンガー R,"¥232,200","¥227,950",,"¥220,000",,,,,,,,,,,,,,,,,
149/165,カイリュー R,"¥28,680",,,,,,,,,,,,,,,,,,,,
150/165,ミュウツー R,"¥37,216","¥34,920","¥39,000","¥33,000",,,,,,,,,,,,,,,,,
013/SM-P,スカル団ごっこピカチュウ（大）,,"¥2,085,500","¥2,360,000","¥2,100,000",93%,,¥0,¥0,¥0,¥0,"¥1,932,000",¥0,¥0,#DIV/0!,,上昇,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/64cdfec6e2d37.webp
085/SV-P,ゴッホピカチュウ(英語版)[SVPEN] P 085/SV-P,"¥430,000",¥0,"¥500,000","¥445,000",96%,113%,"¥485,000","¥420,000","¥399,000","¥387,000","¥409,400","¥65,000","¥33,000",16.80%,,,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/653a14ad6a2f3.webp
CLL 008/032,ピカチュウ,,,,,,,,,,,,,,,,下落,-10.41,28619.8,33535.4,30361→29834→30187→29333→28546→27833→27200,
S8A-P 010/025,ひかるコイキング,,,,,,,,,,,,,,,,下落,-0.83,30544.8,32104.8,30250→30740→30625→30900→30700→30500→29999,
CP3 010/032,ピカチュウ,,,,,,,,,,,,,,,,横ばい,-6.03,778250,752752.9,788187*→788333→786250→780000→786667*→786667→750000,
SGG 020/019,ゲンガーVMAX,,,,,,,,,,,,,,,,横ばい,-2,457662.6,433665.2,463757→475000→465200→450200→457413→461000→454500,
SV8A 021/187,ブースター(マスターボールミラー),,,,,,,,,,,,,,,,横ばい,-6.67,11975,12568.4,12788→12381→12198→11925→12067→11750→11935,
SM2L 055/050,マオ,,,,,,,,,,,,,,,,下落,11.04,157761.8,126355.2,157642→158267*→167500→157000→160017*→159833*→150000,
S6A 071/069,リーフィアV,,,,,,,,,,,,,,,,横ばい,-1.56,36360.6,36235.7,36852→37033→36500→36100→36000→36925→36278,
S7R 076/067,レックウザV,,,,,,,,,,,,,,,,下落,-12.48,209805.6,250160.1,237666→220000→212361→222000→200000→206667→208000,
SV9A 086/063,ヒビキのホウオウex,,,,,,,,,,,,,,,,横ばい,-6.36,40785.8,42545.7,44854→44415→40667→40500→40763→39999→42000,
SV3A 089/062,パラソルおねえさん,,,,,,,,,,,,,,,,横ばい,5.95,29173.4,31832.5,28205*→27467→28133→29000→29067→30000→29667,
SV5A 090/066,ゲッコウガex,,,,,,,,,,,,,,,,下落,-9.09,59060,62482.9,63800→61111→60900→61000→60400→55000→58000,
M1L 091/063,リーリエの決心,,,,,,,,,,,,,,,,横ばい,-1.91,66375.8,69299,68254→67250→66125→66200→66229→66375→66950,
SM9 105/095,ラティアス&ラティオスGX,,,,,,,,,,,,,,,,下落,-7.35,1255262.6,1142267.2,1320000→1320000→1298334→1276667→1253334→1225000→1222978,
M2 110/080,メガリザードンXex,,,,,,,,,,,,,,,,横ばい,1.3,171270.6,173298.4,169833→162917→170104→170576→172289→171349→172035,
SV9 127/100,Nのゾロアークex,,,,,,,,,,,,,,,,横ばい,4.52,15056.6,15500.6,14639→15280→14400→15100→15650→14833→15300,
SV11W 168/086,レシラムex,,,,,,,,,,,,,,,,横ばい,-2.2,38680.8,40092.6,40389→37000→37000→38000→39333→39571→39500,
XY 185/171,サナ,,,,,,,,,,,,,,,,横ばい,-24.96,317541.4,459119.9,302333*→326405→324765*→324765*→249200*→228933*→228933*,
SM12A 191/173,カスミ＆カンナ,,,,,,,,,,,,,,,,下落,2.41,90266.4,83317.6,85697→86008→90397→95000→93477*→94927→85000,
SV2A 200/165,フシギバナex,,,,,,,,,,,,,,,,下落,-3.46,35393.6,37676.7,38222→36300→34000→38888→33400→33780→36900,
SV8A 200/187,リーフィアex,,,,,,,,,,,,,,,,横ばい,1.76,20118.2,20100,20269→19574→19074→19980→20212→20700→20625,
SV2A 201/165,リザードンex,,,,,,,,,,,,,,,,横ばい,3.19,102916.8,109717.5,102500→107166→103041→102900→102100→100770→105773,
SV8A 202/187,ブースターex,,,,,,,,,,,,,,,,横ばい,0.77,15221.8,16091,15330→15000→14922→15156→15483→15100→15448,
S12A 211/172,リザードンV,,,,,,,,,,,,,,,,下落,-10.21,19921.4,20225.3,21800→20405→20400→20080→19667→19885→19575,
S12A 212/172,リザードンVSTAR,,,,,,,,,,,,,,,,横ばい,-3.41,28042.2,29917.5,29400→29900→27723→27880→28077→28133→28398,
SV8A 212/187,ニンフィアex,,,,,,,,,,,,,,,,下落,-1.74,30816.8,31831.8,30333→31125→31940→31748→30154→30437→29805,
SV8A 217/187,ブラッキーex,,,,,,,,,,,,,,,,横ばい,-0.56,96463.2,98235.8,98091→96981→96021→95198→96897→96654→97546,
S12A 221/172,ミュウツーVSTAR,,,,,,,,,,,,,,,,下落,-7.65,31162.8,32843.8,33600→32800→31700→31531→30783→30772→31028,
SV8A 223/187,イーブイex,,,,,,,,,,,,,,,,横ばい,0.76,16518.4,16250,16291→16800→16171→16578→17203→16225→16415,
SM8B 229/150,ブラッキーGX,,,,,,,,,,,,,,,,横ばい,-7.01,249000,209029,267500→271250*→271250*→249500→245000→245000→238000,
M2A 237/193,ロケット団のミュウツーex,,,,,,,,,,,,,,,,横ばい,-5.95,30593.4,34569.8,32703→31981→30903→30906→30271→30130→30757,
SM8B 240/150,レックウザGX,,,,,,,,,,,,,,,,横ばい,-9.49,266610.8,303843.2,304175→299210*→270000→261833→264321→269000→267900,
M2A 240/193,メガゲンガーex,,,,,,,,,,,,,,,,横ばい,-2.12,84967.6,88965.8,86903→86258→84871→84605→85218→85083→85061,
S4A 308/190,リザードンVMAX,,,,,,,,,,,,,,,,下落,-2.64,40272.6,40893.7,40300→41167→40482→40858→41300→39486→39237,
